"","a1","a6","a7","a8","a10","a11","a12","a13","a14","a15","a16","a17","a18","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","a32","a33","a34","a35","a36","a37","a39","a40","a41","a42","a43","a44","a45","a46","a47","a48","a49","a50","a51","a52","a53","a54","a55","a56","a57","a58","a59","a60","a61","a62","a63","a64","a65","a66","a67","a68","a69","a70","a71","a72","a73","a74","a75","a76","a77","a78","a79","a80","a81","a82","a83","a84","b6","b7","b8","b9","b10","b11","b12","b13","b14","b16","b17","b19","b20","b21","b23","b24","b26","b27","b28","b29","b30","b31","b32","b33","b35","b37","b38","b40","b41","b42","b44","b46","b47","b48","b51","b52","b55","b56","b64","b65","b66","b67","b68","b69","b70","b71","b72","b73","b74","b75","b76","b77","b79","b81","b83","b85"
"1189",20511,4,4,5,5,3,3,3,1,3,4,4,99,1,NA,4,2,4,3,4,4,4,4,29,2,2,2,2,2,32,3,NA,NA,NA,NA,1,5,5,6,1,5,8,1,1,5,1,4,NA,5,4,3,3,3,3,4,4,2,4,4,2,1,3,5,1,3,3,5,NA,2,1,2,2,2,2,1,2,1,4,5,2,2,1,3,NA,22,4,NA,2,2,22,1,20,3,NA,7,4,1,3,2,NA,NA,NA,12,NA,3,5,4,NA,2,NA,1,19,3,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2
"1190",20521,1,2,2,1,3,4,4,4,4,4,3,50,1,NA,4,2,4,4,4,4,4,4,27,3,3,2,3,3,NA,3,NA,NA,NA,NA,1,4,3,3,1,8,4,2,9,8,5,3,NA,4,4,4,4,4,4,4,2,2,6,5,2,1,1,2,2,3,2,4,NA,2,4,1,4,1,3,2,2,5,6,6,4,3,2,2,NA,15,2,NA,1,2,15,1,35,3,NA,5,3,4,2,1,NA,NA,NA,10,NA,4,3,9,NA,1,72,1,19,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,NA
"1191",20531,3,1,10,2,2,3,1,4,4,3,3,40,2,NA,4,2,4,4,4,4,4,4,25,2,2,3,2,2,34,2,NA,NA,NA,NA,1,7,1,1,1,1,5,5,10,1,5,3,NA,4,3,2,3,3,4,4,4,4,6,1,1,1,2,2,2,2,2,4,NA,4,3,2,2,3,3,4,4,4,3,6,4,1,1,2,NA,4,3,NA,2,4,21,2,19,4,NA,5,4,2,NA,NA,NA,NA,NA,12,2,2,10,9,NA,2,51,1,19,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,4
"1192",20541,1,1,2,2,2,4,4,4,4,3,2,30,2,NA,4,2,2,3,2,4,4,3,27,2,3,3,3,1,34,3,NA,NA,NA,NA,1,7,1,1,2,8,6,3,9,1,2,3,NA,1,4,4,4,4,4,4,3,3,6,3,2,3,5,3,4,3,2,3,NA,2,1,1,1,2,1,2,2,5,3,4,3,3,3,1,NA,15,2,NA,1,2,15,2,21,3,NA,5,3,2,4,1,NA,NA,NA,12,2,4,4,6,NA,2,51,1,19,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,2
"1193",20551,1,2,8,2,2,4,4,3,2,3,4,75,1,NA,3,2,2,4,4,3,4,3,28,3,1,1,3,1,35,2,NA,NA,NA,NA,1,6,1,1,1,7,6,2,5,4,5,1,NA,4,3,4,1,4,4,1,2,2,4,5,2,3,4,4,1,3,2,1,NA,4,1,2,3,1,4,2,2,3,3,4,1,1,1,1,NA,14,4,NA,1,4,21,1,18,2,NA,6,4,3,2,1,NA,NA,NA,12,NA,3,3,4,NA,1,80,1,19,3,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,NA
"1194",20561,1,1,16,1,1,2,3,1,4,1,3,99,1,NA,4,2,4,4,3,3,4,4,25,1,1,1,3,1,35,2,NA,NA,NA,NA,1,2,1,1,1,7,1,3,1,1,3,3,NA,4,4,4,4,4,4,4,4,4,4,3,3,2,1,3,1,4,1,2,NA,4,3,1,1,3,4,4,NA,5,5,6,1,1,1,1,NA,14,4,NA,1,1,14,2,45,1,NA,5,2,3,1,4,NA,NA,NA,8,NA,4,3,7,NA,2,76,1,19,3,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,1,NA
"1195",20571,2,2,NA,2,1,4,2,1,3,2,2,10,1,NA,4,2,4,2,4,4,4,2,26,1,1,1,3,1,35,1,NA,NA,NA,NA,1,6,1,1,1,5,1,1,7,1,1,4,NA,4,4,3,2,4,4,3,4,3,6,5,3,2,1,1,1,2,1,1,NA,4,4,4,2,2,4,4,4,5,4,5,2,2,2,3,NA,99,6,NA,2,NA,99,2,47,4,NA,5,3,2,4,1,NA,NA,NA,8,NA,5,3,4,NA,2,67,1,19,3,6,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,NA
"1196",20581,1,1,1,2,3,2,2,4,2,3,2,55,2,NA,1,1,2,1,4,3,4,4,28,3,1,1,3,1,33,3,NA,NA,NA,NA,1,8,1,1,1,4,2,1,NA,6,5,4,NA,4,4,4,3,4,3,4,NA,3,4,5,3,3,4,3,1,4,3,4,NA,4,4,4,4,4,4,4,4,5,5,6,4,3,2,3,NA,23,2,NA,2,2,17,2,26,3,NA,5,4,3,1,2,NA,NA,NA,13,NA,5,3,5,NA,2,120,1,19,3,7,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
"1197",20591,1,1,20,3,2,3,3,3,3,3,2,65,1,NA,4,1,2,3,3,3,2,2,28,3,1,3,2,1,36,2,NA,NA,NA,NA,1,4,1,1,3,6,5,2,7,1,1,2,NA,1,3,4,3,4,2,3,3,4,5,1,1,1,1,1,2,3,2,4,NA,2,3,3,3,3,4,4,4,3,5,5,3,3,2,2,NA,15,5,NA,2,2,1,2,32,3,NA,5,1,4,1,NA,NA,NA,NA,12,NA,4,3,7,NA,2,120,1,19,3,7,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
"1198",20601,2,1,16,2,3,2,3,2,1,3,1,50,1,NA,4,1,1,2,3,4,4,4,29,3,4,3,2,1,33,4,NA,NA,NA,NA,1,6,6,1,1,3,8,1,10,10,7,2,NA,4,4,4,4,4,4,4,4,1,NA,5,3,5,5,3,5,3,3,5,NA,3,1,1,2,1,1,1,2,5,5,6,2,2,2,2,NA,4,1,NA,1,2,1,2,45,2,NA,6,3,1,NA,NA,NA,NA,NA,12,2,3,3,5,NA,1,51,1,19,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2
