"","caseid","id_svv_2","a6","a7","a8","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","a31","a32","a33","a34","a35","a36","a37","a38","a39","a40","a41","a42","a43","a44","a45","a46","a47","a48","a49","a50","a51","a53","a54","a55","a56","a57","a58","a59","a60","a61","a62","a63","a64","a65","a66","a68","a69","a70","a71","a72","a73","a74","a75","a76","a77","a78","a79","a80","a81","a82","a83","a84","a85","a86","a87","a88","a89","a90","a91","a92","a93","a94","a95","a96","a97","b6","b7","b11","b13","b15","b17","b19","b21","b23","b25","b26","b27","b28","b29","b30","b31","b32","b33","b34","b35","b36","b37","b38","b39","b40","b41","b42","b43","b44","b45","b46","b47","b48","b49","b50","b51","b52","b53","b54","b55","b56","b57","b58","b59","b60","b61","b62","b63","b64","b66","b67","b69","b70","b71","b72","b73","b75","b78","b81","b84","b87","b89","b91","b93","c6","c9","c12","c15","c18","c21","c24","c27","c28","c29","c30","c31","c32","c33","c34","c36","c38","c40","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c56","c57","c60","c62","c63","c65","c67","c68","c69","c72","c75","c77","c78","c80","c81","c82","c84","c86","c87","c88","c89","c90","c93","c94","day","month","origin","d5","d6","d8","d10","d11","d13","d14","d15","d16","d17","d18","d19","d20","d21","d23","d24","d25","d26","d27","d28","d29","d30","d31","d33","d34","d36","d37","d38","d40","sevev"
"1429",1712,667,2,3,17,NA,NA,NA,NA,NA,1,2,NA,NA,NA,4,4,NA,NA,3,2,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,4,1,1,4,4,2,2,NA,3,3,NA,NA,NA,1,3,6,8,5,6,7,2,61,1,5,8,9,3,5,6,6,5,6,2,1,3,4,1,2,4,5,2,3,2,5,2,1,1,1,3,1,1,1,NA,6,6,4,4,7,8,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,1,2,3,2,3,4,NA,NA,4,NA,5,2,2,2,3,NA,NA,3,2,70,50,40,NA,32,20,20,NA,70,50,50,70,50,80,60,5,9,3,3,8,7,10,33,3,2,1,2,2,1,3,4,NA,NA,NA,NA,1,2,1,53,2,1,NA,NA,NA,NA,NA,NA,1,66,12,2,"52",2,NA,5,6,3,1,2,1,41,1,2,22,3,6,1,2,62,4,6,3,1,1,2,3,5,5,3,18,1,2,5,3,3,4,4,2,53,1,12,1,1,3,4,2
"1430",1713,NA,3,2,17,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,2,NA,NA,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,3,4,2,3,1,4,NA,2,2,NA,NA,NA,3,6,7,4,5,3,3,3,60,5,7,3,7,5,6,4,5,2,4,3,1,3,1,1,3,4,3,3,3,4,4,3,3,2,2,2,2,3,1,NA,3,8,3,4,7,9,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,2,3,2,1,3,3,2,NA,2,NA,3,2,3,4,5,NA,NA,2,3,100,50,50,NA,NA,NA,NA,NA,90,55,20,55,15,15,50,10,6,3,7,3,3,8,27,1,3,2,NA,1,2,4,3,NA,NA,NA,NA,1,2,1,27,2,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,"44",2,NA,3,2,3,1,1,1,82,1,2,22,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1431",1714,957,3,3,37,NA,NA,NA,NA,NA,2,3,NA,NA,NA,2,3,NA,NA,4,3,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,4,2,3,4,4,2,3,NA,4,4,NA,NA,NA,2,3,5,6,1,5,5,2,67,3,2,3,4,2,2,2,1,2,3,2,5,4,NA,4,NA,5,2,4,4,4,4,2,4,2,3,3,3,3,1,NA,7,7,5,5,8,8,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,5,NA,5,NA,NA,4,NA,5,1,1,NA,5,NA,NA,1,96,100,50,50,NA,40,20,20,NA,50,50,50,50,50,50,30,5,5,2,2,6,3,7,33,5,96,96,4,1,2,3,4,NA,NA,NA,NA,1,2,2,32,2,1,NA,NA,NA,NA,NA,NA,1,1,16,1,"21",NA,NA,3,1,2,1,1,1,392,1,2,22,3,6,1,13,53,2,3,4,1,3,4,5,5,5,3,18,4,3,2,2,2,3,4,2,32,1,16,1,1,5,4,2
"1432",1715,537,2,2,26,NA,NA,NA,NA,NA,1,4,NA,NA,NA,2,2,NA,NA,3,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,3,3,4,2,2,2,4,NA,2,2,NA,NA,NA,3,8,6,6,4,6,4,4,59,8,6,6,6,4,10,4,1,5,5,2,1,1,3,1,2,5,5,4,2,1,1,3,1,1,1,1,1,1,1,NA,5,8,3,5,8,8,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,2,2,1,1,2,NA,3,NA,5,1,6,2,4,NA,NA,2,97,100,100,0,NA,40,15,15,NA,100,50,0,0,50,50,50,7,8,6,4,7,3,5,NA,6,1,1,2,2,1,4,3,NA,NA,NA,NA,8,2,1,36,2,1,NA,NA,NA,NA,NA,NA,61,61,16,1,"16",5,NA,3,3,3,1,1,2,135,1,2,22,3,7,1,2,24,4,1,4,1,5,3,5,5,3,3,17,3,5,1,3,5,2,2,2,36,1,16,2,1,2,4,2
"1433",1716,NA,5,3,17,NA,NA,NA,NA,NA,3,1,NA,NA,NA,4,4,NA,NA,2,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,3,4,3,2,2,2,3,NA,2,3,NA,NA,NA,1,8,7,5,4,5,7,10,65,9,8,7,6,2,7,5,1,1,2,1,2,1,2,1,2,2,1,3,2,1,3,4,2,3,2,3,2,1,3,NA,8,7,7,8,10,6,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,4,NA,4,NA,4,NA,NA,5,NA,1,1,4,2,5,NA,NA,1,7,90,80,70,NA,NA,NA,NA,NA,70,60,40,52,48,29,19,7,5,8,6,5,4,3,27,13,7,8,4,2,1,3,4,NA,NA,NA,NA,8,4,8,23,2,1,NA,NA,NA,NA,NA,NA,1,1,12,2,"Y1",4,NA,4,4,3,1,2,1,135,1,2,22,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1434",1717,NA,5,4,1,NA,NA,NA,NA,NA,4,4,NA,NA,NA,4,4,NA,NA,2,2,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,1,3,3,3,2,4,1,NA,1,1,NA,NA,NA,2,1,1,3,1,10,7,4,63,1,1,3,1,3,2,7,3,10,8,2,3,2,3,2,3,2,2,3,2,2,2,3,1,1,2,1,1,1,1,NA,10,10,0,0,3,10,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,5,NA,5,NA,2,1,2,1,NA,5,NA,2,2,2,2,4,NA,NA,2,5,70,30,30,50,30,12,10,15,80,80,80,80,40,70,20,1,1,2,1,5,1,7,33,3,5,98,5,2,4,1,3,NA,NA,NA,NA,8,8,8,19,4,1,NA,NA,NA,NA,NA,NA,1,1,12,2,"Y1",2,NA,6,3,1,1,3,1,354,1,2,22,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1435",1718,NA,3,3,5,NA,NA,NA,NA,NA,4,4,NA,NA,NA,4,4,NA,NA,2,1,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,1,3,4,4,4,3,1,NA,1,3,NA,NA,NA,2,2,3,7,1,10,10,4,63,3,3,7,5,5,8,9,1,8,5,2,1,2,1,2,1,1,1,3,2,1,3,1,1,1,2,1,1,1,1,NA,9,8,3,4,6,10,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,5,NA,2,3,2,3,5,NA,NA,5,NA,5,2,5,4,4,NA,NA,2,5,70,40,60,40,30,20,25,10,70,60,50,60,60,20,60,2,4,3,5,7,3,6,NA,3,5,6,2,2,4,1,3,NA,NA,NA,NA,8,2,8,56,4,1,NA,NA,NA,NA,NA,NA,63,63,15,1,"16",3,NA,5,5,3,1,3,2,465,1,2,22,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1436",1719,255,3,3,17,NA,NA,NA,NA,NA,2,2,NA,NA,NA,2,1,NA,NA,1,1,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,3,4,3,3,2,2,3,NA,2,3,NA,NA,NA,3,5,1,7,1,5,7,3,64,5,2,8,5,3,9,8,1,1,5,2,1,2,1,2,1,4,2,2,2,2,3,1,2,1,1,3,1,1,1,NA,10,10,0,5,7,5,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,3,2,1,2,3,1,3,NA,5,NA,5,1,5,4,4,NA,NA,1,98,80,50,50,NA,40,20,60,NA,0,100,70,0,100,20,80,1,9,6,1,9,1,7,33,3,1,98,5,1,3,2,4,NA,NA,NA,NA,8,8,1,18,2,1,NA,NA,NA,NA,NA,NA,1,1,12,2,"44",3,NA,5,3,3,1,2,1,206,1,2,22,3,6,1,1,30,2,1,4,2,1,5,3,4,4,3,16,5,3,3,4,4,3,1,2,18,1,12,1,1,31,3,2
"1437",1720,114,3,2,32,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,1,NA,NA,3,3,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,4,2,4,2,3,2,3,NA,1,3,NA,NA,NA,2,9,9,1,10,3,1,1,62,8,6,1,10,1,8,1,4,1,4,1,3,3,1,1,3,4,4,3,4,2,4,2,4,1,2,4,1,1,1,NA,4,10,4,5,8,10,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,1,2,1,2,1,2,NA,2,NA,2,1,5,4,4,NA,NA,1,8,100,70,10,50,40,20,10,5,100,50,10,70,20,40,20,10,1,1,2,1,10,1,32,2,8,3,1,4,1,2,3,NA,NA,NA,NA,1,2,1,37,1,1,NA,NA,NA,NA,NA,NA,27,3,12,2,"22",1,NA,2,1,2,1,1,1,131,1,2,22,3,9,1,8,15,2,1,3,2,5,5,1,4,4,2,15,5,5,1,1,2,3,1,1,37,1,13,1,1,30,3,2
"1438",1721,531,5,4,26,NA,NA,NA,NA,NA,4,4,NA,NA,NA,3,3,NA,NA,2,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,4,2,4,4,4,2,2,NA,3,4,NA,NA,NA,1,7,1,8,1,10,2,9,63,1,7,9,8,1,9,10,1,8,8,2,1,3,1,1,3,1,2,3,1,1,3,3,1,1,3,3,1,1,4,NA,10,6,0,5,7,10,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,5,NA,3,2,2,1,3,2,NA,5,NA,4,1,1,NA,5,NA,NA,3,5,90,20,80,65,30,20,15,3,50,90,70,10,90,80,30,1,8,7,3,9,1,6,31,3,5,5,2,3,2,1,4,NA,NA,NA,NA,8,3,1,27,2,1,NA,NA,NA,NA,NA,NA,1,61,14,2,"22",1,NA,2,2,3,1,1,1,246,1,2,22,3,6,2,NA,23,3,6,4,2,5,3,5,5,5,5,18,4,2,2,4,4,3,4,1,27,1,15,1,1,2,4,2
"1439",1722,277,4,3,27,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,3,NA,NA,1,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,4,1,3,2,2,2,2,NA,1,3,NA,NA,NA,3,1,1,1,1,1,1,1,67,1,1,1,1,1,1,1,1,1,1,5,NA,5,NA,5,NA,2,1,2,3,2,3,1,2,2,1,2,2,1,1,NA,5,6,4,5,8,8,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,5,NA,5,NA,NA,7,NA,5,2,5,4,5,NA,NA,1,98,100,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,7,98,2,1,2,1,3,4,NA,NA,NA,NA,1,2,1,54,1,1,NA,NA,NA,NA,NA,NA,2,2,12,2,"72",2,NA,3,3,3,1,1,1,464,1,2,22,3,10,1,3,61,3,1,4,2,2,2,4,4,4,2,18,4,4,5,4,5,3,1,2,54,1,12,1,1,31,3,2
"1440",1723,282,3,3,17,NA,NA,NA,NA,NA,4,4,NA,NA,NA,4,3,NA,NA,2,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,2,1,4,3,2,4,1,NA,2,3,NA,NA,NA,2,1,4,8,1,7,9,7,64,3,4,7,5,7,4,8,3,9,6,2,3,2,3,2,3,2,3,4,3,4,2,3,1,2,3,2,1,2,1,NA,9,7,3,2,6,7,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,1,2,1,3,1,2,1,NA,5,NA,1,1,5,2,5,NA,NA,2,5,90,70,50,NA,30,19,25,NA,90,60,60,80,40,80,55,3,6,6,5,8,2,5,31,3,5,15,2,2,1,4,3,NA,NA,NA,NA,2,2,1,28,2,16,90,1,2,4,2,3,16,16,16,1,"02",4,NA,3,3,4,1,1,1,271,1,2,22,3,3,1,5,50,4,2,3,2,2,2,2,4,3,5,20,4,4,5,3,3,4,3,2,28,1,14,1,1,31,3,2
"1441",1724,259,4,2,1,NA,NA,NA,NA,NA,2,2,NA,NA,NA,4,3,NA,NA,3,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,3,3,3,2,3,NA,4,4,NA,NA,NA,3,7,6,5,5,2,1,1,67,9,8,8,1,1,1,1,1,1,1,NA,NA,NA,NA,1,2,2,2,2,4,2,4,3,4,3,4,3,1,1,4,NA,5,10,1,5,0,10,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,10,5,2,5,NA,NA,1,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,99,3,2,1,3,2,4,NA,NA,NA,NA,1,2,1,65,1,27,60,NA,NA,NA,NA,NA,27,27,16,1,"Y3",4,NA,4,4,3,1,1,1,129,1,2,22,3,3,1,1,99,3,5,4,2,1,5,3,5,5,5,19,4,5,3,4,4,3,1,1,66,1,16,1,1,31,3,2
"1442",1725,163,4,4,20,NA,NA,NA,NA,NA,2,4,NA,NA,NA,4,4,NA,NA,1,1,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,4,3,4,4,3,NA,2,NA,2,4,NA,NA,NA,1,1,3,6,3,5,6,1,61,1,4,7,4,2,NA,6,6,5,4,2,3,5,NA,2,NA,2,2,2,5,1,1,3,1,1,1,3,2,1,1,NA,8,8,1,2,5,8,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,2,1,2,1,2,1,NA,5,NA,4,2,5,4,5,NA,NA,1,2,60,55,40,NA,32,17,20,NA,70,10,20,70,20,80,5,1,5,4,2,7,2,6,31,3,2,1,2,2,1,4,3,NA,NA,NA,NA,1,4,1,54,2,25,NA,NA,NA,NA,NA,NA,25,25,16,2,"41",2,NA,5,4,2,1,2,1,354,1,2,22,3,3,1,2,43,4,5,4,2,3,2,4,5,4,5,20,2,4,3,2,1,2,4,2,54,1,16,1,1,30,3,2
"1443",1726,162,2,3,21,NA,NA,NA,NA,NA,2,4,NA,NA,NA,2,4,NA,NA,4,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,2,4,4,2,4,2,3,NA,3,4,NA,NA,NA,3,8,6,4,4,2,5,4,59,8,5,2,8,5,10,7,4,5,5,4,NA,1,3,1,2,5,3,2,2,5,5,1,1,1,1,4,1,1,1,NA,0,10,5,0,3,5,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,2,2,2,1,3,NA,2,NA,5,1,5,4,5,NA,NA,2,1,80,50,40,NA,40,20,15,NA,0,0,50,50,NA,50,40,10,6,5,1,5,8,6,27,2,1,2,1,1,2,4,3,NA,NA,NA,NA,1,8,8,65,1,1,NA,NA,NA,NA,NA,NA,16,25,12,2,"Y3",1,NA,4,2,2,1,1,1,135,1,2,22,3,9,1,1,19,2,5,4,1,3,1,2,5,4,4,18,5,2,4,4,2,3,1,1,65,1,12,1,1,30,3,2
"1444",1727,1231,3,3,27,NA,NA,NA,NA,NA,3,3,NA,NA,NA,2,3,NA,NA,2,2,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,3,4,3,2,2,3,3,NA,3,2,NA,NA,NA,3,8,6,5,1,5,5,1,59,8,6,3,4,1,8,5,1,4,2,3,1,1,2,1,2,4,5,2,2,3,3,1,2,2,2,2,2,2,2,NA,7,6,4,7,4,7,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,1,2,1,3,1,3,NA,4,NA,5,2,1,2,4,NA,NA,1,1,80,60,60,NA,37,NA,NA,NA,90,70,60,90,60,20,10,10,5,5,5,4,6,3,27,2,1,1,2,2,1,3,4,NA,NA,NA,NA,8,8,8,33,2,1,NA,NA,NA,NA,NA,NA,1,1,15,1,"02",3,NA,1,1,3,1,1,1,135,1,2,22,3,6,1,1,34,2,1,3,2,4,4,2,5,5,2,19,3,3,2,4,2,2,4,2,33,1,15,1,1,17,4,2
"1445",1728,399,4,3,22,NA,NA,NA,NA,NA,2,2,NA,NA,NA,3,3,NA,NA,1,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,3,4,3,2,2,2,2,NA,1,3,NA,NA,NA,2,8,1,4,1,5,3,3,59,8,1,1,5,1,1,3,1,3,1,1,2,1,2,1,2,2,3,2,3,3,3,NA,2,1,2,2,1,1,2,NA,5,5,2,5,4,5,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,4,NA,4,NA,4,NA,NA,4,NA,5,30,4,9,5,NA,NA,1,1,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,1,2,2,1,4,3,NA,NA,NA,NA,8,8,1,52,2,1,NA,NA,NA,NA,NA,NA,56,56,12,2,"16",2,NA,4,5,3,1,2,2,135,1,2,22,3,8,1,1,90,3,6,4,1,1,5,1,5,5,5,18,5,3,1,3,5,3,3,2,52,1,12,2,1,2,4,2
"1446",1729,2,4,3,20,NA,NA,NA,NA,NA,2,3,NA,NA,NA,2,3,NA,NA,2,4,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,4,3,4,4,2,1,4,NA,1,3,NA,NA,NA,2,1,9,1,9,1,1,1,62,1,8,1,5,1,4,1,6,1,1,3,5,5,4,3,4,5,1,1,3,2,5,3,4,1,1,4,1,4,4,NA,5,9,4,8,9,10,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,2,3,2,3,1,3,1,NA,2,NA,5,3,5,1,5,NA,NA,1,3,80,50,30,NA,30,20,14,NA,50,50,69,50,50,50,50,7,2,1,2,1,9,1,32,1,3,4,1,1,4,2,3,NA,NA,NA,NA,1,2,1,60,2,1,NA,NA,NA,NA,NA,NA,25,25,17,1,"Y3",3,NA,5,2,2,1,1,2,135,1,2,22,3,9,1,3,11,3,6,4,1,5,5,5,4,4,5,17,4,4,5,2,3,3,1,2,60,1,17,2,1,30,3,2
"1447",1730,738,2,2,20,NA,NA,NA,NA,NA,2,2,NA,NA,NA,2,1,NA,NA,2,1,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,1,4,3,3,3,2,3,NA,1,2,NA,NA,NA,2,6,7,5,6,6,7,5,60,5,6,4,5,4,6,6,6,6,6,3,1,1,3,3,1,5,3,2,5,5,5,3,2,1,1,2,2,1,1,NA,5,4,5,5,7,9,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,2,3,2,3,2,3,2,NA,3,NA,5,1,5,1,5,NA,NA,1,13,100,90,40,0,34,22,18,1,100,40,80,90,40,70,30,10,5,5,10,6,7,6,27,1,13,1,2,2,1,4,3,NA,NA,NA,NA,1,3,1,59,3,27,NA,NA,NA,NA,NA,NA,27,28,14,2,"Y3",1,NA,5,2,3,1,2,1,45,1,2,22,3,3,1,13,18,2,4,4,2,3,5,4,5,4,4,18,4,3,4,3,3,3,2,2,59,1,14,1,1,4,4,2
"1448",1731,398,2,4,17,NA,NA,NA,NA,NA,4,3,NA,NA,NA,4,3,NA,NA,3,2,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,3,4,4,4,2,1,3,NA,3,1,NA,NA,NA,2,8,9,10,5,6,8,6,61,6,6,6,6,6,10,8,6,6,6,1,3,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,NA,10,7,6,8,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,2,1,2,3,1,2,NA,5,NA,5,2,5,4,5,NA,NA,3,2,80,60,60,NA,30,20,15,NA,70,0,0,60,0,70,0,5,5,5,5,5,5,5,27,2,2,1,2,1,4,2,3,NA,NA,NA,NA,8,8,1,23,2,1,NA,NA,NA,NA,NA,NA,61,61,12,2,"13",3,NA,7,3,1,1,2,1,129,1,2,22,3,7,1,1,10,1,6,4,2,1,1,1,5,5,5,18,5,5,5,5,1,3,1,2,23,1,12,1,1,2,4,2
"1449",1732,1,4,4,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,2,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,4,4,3,2,2,1,NA,3,4,NA,NA,NA,1,7,8,1,8,1,1,1,62,4,6,1,8,2,10,1,8,NA,4,3,1,4,NA,4,NA,2,2,2,2,2,2,3,2,1,1,3,1,1,1,NA,2,7,3,5,7,9,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,5,NA,NA,1,8,100,60,60,20,NA,NA,NA,NA,80,90,90,20,90,50,0,10,5,1,2,1,10,1,32,1,8,4,1,1,4,3,2,NA,NA,NA,NA,2,3,8,36,1,1,NA,NA,NA,NA,NA,NA,1,1,20,1,"22",4,NA,3,2,2,1,1,2,392,1,2,22,3,6,1,8,15,2,1,4,2,3,2,5,5,5,4,18,4,5,3,3,2,2,1,2,36,1,20,2,1,30,3,2
"1450",1733,1144,3,3,19,NA,NA,NA,NA,NA,3,4,NA,NA,NA,2,3,NA,NA,2,3,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,2,3,4,4,3,1,1,NA,4,4,NA,NA,NA,2,5,5,2,3,3,2,1,59,6,2,1,5,2,6,1,1,1,1,1,3,1,3,1,2,2,1,2,3,2,4,3,1,1,2,2,1,1,1,NA,4,5,5,5,7,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,2,2,3,1,2,NA,2,NA,2,2,4,4,5,NA,NA,1,97,50,40,50,NA,30,20,40,NA,60,20,30,50,30,20,20,5,2,1,1,1,2,1,27,2,1,2,2,1,2,3,4,NA,NA,NA,NA,8,2,1,60,2,1,NA,NA,NA,NA,NA,NA,1,1,12,2,"33",5,NA,3,1,4,1,1,2,135,1,2,20,3,6,1,13,70,2,3,4,2,1,3,4,5,4,3,18,2,1,1,1,1,1,2,NA,60,1,12,2,1,9,4,2
"1451",1734,48,3,2,21,NA,NA,NA,NA,NA,3,2,NA,NA,NA,2,3,NA,NA,2,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,3,4,4,3,1,3,3,NA,3,4,NA,NA,NA,3,10,5,1,5,1,1,1,59,10,9,1,10,1,8,1,5,1,1,1,3,1,3,1,3,1,1,1,2,1,2,2,2,1,1,2,2,2,1,NA,2,10,2,5,9,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,2,1,2,1,2,NA,2,NA,5,2,5,2,5,NA,NA,1,1,100,90,0,NA,38,18,15,NA,100,0,50,50,100,0,100,10,1,5,10,4,10,5,32,2,3,1,1,1,2,4,3,NA,NA,NA,NA,1,8,1,86,2,27,NA,NA,NA,NA,NA,NA,27,27,12,2,"Y3",4,NA,3,1,3,1,1,1,354,1,2,22,3,3,1,13,17,2,5,4,2,5,5,2,5,5,5,18,5,5,5,5,5,3,1,1,86,1,12,1,1,30,3,2
